ENTRY,NAMES,FORMULA,CHARGE,"GROUPS INVOLVED IN COMPOUND STRUCTURE","ESTIMATED ∆fG'°","SE∆fG'°",NOTES,SMILES,chebi_error
169,CDPglucose|CHEBI:58660,C15H23N3O16P2,-2,"ring -CH< : 9 | ring -O- : 2 | ring >C=O : 1 | ring =CH- : 2 | -OH : 6 | ring =N- : 1 | -CH2- : 2 | ring =C< : 1 | -OPO3- : 1 | -NH2 : 1 | -OPO2- : 1 | amide : 1 | ring -N< : 1 | Origin : 1 | OCNC : 1 | CCCN : 1",-710.16,3.14,,Nc1ccn([C@@H]2O[C@H](COP([O-])(=O)OP([O-])(=O)OC3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)n1,
170,ribulose|xylulose|,C5H10O5,0,"ring >C< : 1 | ring -CH< : 2 | ring -O- : 1 | -CH2- : 1 | -OH : 4 | ring -CH2- : 1 | Origin : 1",-180.95,1.22,,,
171,ornithine|orn|,C5H13N2O2,1,">CH- : 1 | -COO : 1 | -CH2- : 3 | -NH3 : 2 | Origin : 1",-85.66,0.51,,NCCCC(N)C(O)=O,
172,arabitol|xylitol|ribitol|,C5H12O5,0,">CH- : 3 | -OH : 5 | -CH2- : 2 | Origin : 1",-189.02,0.8,,OC[C@H](O)[C@@H](O)[C@H](O)CO,
173,methylglyoxal|,C3H4O2,0,">C=O : 1 | -CH=O : 1 | -CH3 : 1 | Origin : 1 | OCCO : 1",-59.99,0.32,,[H]C(=O)C(C)=O,
174,D-4-hydroxyphenylglycine|,C8H8NO3,-1,"-COO : 1 | aromatic ring =C< : 2 | aromatic ring =CH- : 4 | >CH- : 1 | -NH2 : 1 | -OH : 1 | Origin : 1",-83.86,0.94,,N[C@@H](C(O)=O)c1ccc(O)cc1,
175,meso-tartrate|,C4H4O6,-2,">CH- : 2 | -COO : 2 | -OH : 2 | Origin : 1",-239.04,0.45,,O[C@@H]([C@@H](O)C([O-])=O)C([O-])=O,
176,benzyl-alcohol|,C7H8O,0,"aromatic ring =C< : 1 | aromatic ring =CH- : 5 | -CH2- : 1 | -OH : 1 | Origin : 1",-8.28,0.79,,OCc1ccccc1,
177,phospholysozyme|,C6H9N3O7PR3,0,">C=O : 2 | >CH- : 3 | RW : 3 | -CO-OPO3- : 1 | -NH3 : 1 | amide : 2 | -NH- : 2 | Origin : 1",None,None,"Involves groups with unknown energy",,"no exact name match in CHEBI"
178,CDP-ethanolamine|,C11H19N4O11P2,-1,"ring -CH< : 4 | ring -O- : 1 | ring >C=O : 1 | ring =CH- : 2 | -OH : 2 | ring =N- : 1 | -CH2- : 3 | ring =C< : 1 | -OPO3- : 1 | -NH2 : 1 | -OPO2- : 1 | -NH3 : 1 | amide : 1 | ring -N< : 1 | Origin : 1 | OCNC : 1 | CCCN : 1",-536.39,1.99,,NCCOP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc(N)nc1=O,
179,adenosine-3'5'-cyclicphosphate|CHEBI:17489,C10H11N5O6P,-1,"ring -N< : 1 | ring -CH< : 2 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 2 | ring =N- : 3 | two fused rings >CH- : 2 | -OH : 1 | ring =C< : 1 | ring -OPO2- : 1 | ring -CH2- : 1 | -NH2 : 1 | Origin : 1 | heteroaromatic : 2",-191.87,3.8,,Nc1ncnc2n(cnc12)[C@@H]1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1O,
180,glyceraldehyde|glyald|,C3H6O3,0,">CH- : 1 | -CH2- : 1 | -CH=O : 1 | -OH : 2 | Origin : 1",-106.7,0.35,,[H]C(=O)C(O)CO,
181,dihydrolipoamide|,C8H17NOS2,0,"-CH2- : 6 | >CH- : 1 | -SH : 2 | >C=O : 1 | amide : 1 | -NH2 : 1 | Origin : 1",-27.35,1.48,,NC(=O)CCCCC(S)CCS,
182,"dimethyl sulfide|",C2H6S,0,"-S- : 1 | -CH3 : 2 | Origin : 1",1.47,0.77,,CSC,
183,"guanidinoacetic acid|",C3H7N3O2,0,"-COO : 1 | -CH2- : 1 | -NH- : 1 | =C< : 1 | -NH2 : 1 | =NH2 : 1 | Origin : 1",-75.84,1.52,,NC(=N)NCC(O)=O,
184,"prostaglandin E1|",C20H33O5,-1,"ring -CH< : 3 | ring >C=O : 1 | -CH2- : 10 | =CH- : 2 | ring -CH2- : 1 | -OH : 2 | >CH- : 1 | -COO : 1 | -CH3 : 1 | Origin : 1",-135.27,1.3,,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O,
185,"prostaglandin E2|",C20H31O5,-1,"ring -CH< : 3 | ring >C=O : 1 | -CH2- : 8 | =CH- : 4 | ring -CH2- : 1 | -OH : 2 | >CH- : 1 | -COO : 1 | -CH3 : 1 | Origin : 1",-112.91,1.45,,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,
186,"choline phosphate|",C5H14NO4P,0,"-CH2- : 2 | >N< : 1 | -CH3 : 3 | -OPO3 : 1 | Origin : 1",-200.31,1.97,,C[N+](C)(C)CCOP(O)(O)=O,
187,coniferol|,C10H12O3,0,"aromatic ring =C< : 3 | -OH : 2 | aromatic ring =CH- : 3 | -O- : 1 | =CH- : 2 | -CH3 : 1 | -CH2- : 1 | Origin : 1 | CCCC : 1",-51.81,1.31,,COc1cc(\C=C\CO)ccc1O,
188,3-phospho-D-glycerate|pg3|CHEBI:17794,C3H5O7P,-2,"-OPO3 : 1 | -CH2- : 1 | >CH- : 1 | -COO : 1 | -OH : 1 | Origin : 1",-371.9,0.29,,O[C@H](COP(O)(O)=O)C(O)=O,
189,--ureidoglycolate|CHEBI:57296,C3H5N2O4,-1,">CH- : 1 | -COO : 1 | -OH : 1 | >C=O : 1 | amide : 2 | -NH- : 1 | -NH2 : 1 | Origin : 1",-163.98,0.97,,NC(=O)N[C@@H](O)C([O-])=O,
190,D-ribose-1-phosphate|,C5H10O8P,-1,"ring -CH< : 4 | ring -O- : 1 | -OPO3 : 1 | -OH : 3 | -CH2- : 1 | Origin : 1",-394.12,1.32,,OC[C@H]1OC(OP(O)(O)=O)[C@H](O)[C@@H]1O,
191,N-acetyl-L-glutamate|,C7H9NO5,-2,">CH- : 1 | -CH2- : 2 | -COO : 2 | >C=O : 1 | -CH3 : 1 | amide : 1 | -NH- : 1 | Origin : 1",-193.73,0.73,,CC(=O)N[C@@H](CCC([O-])=O)C([O-])=O,
192,2-phospho-D-glycerate|pg2|CHEBI:17835,C3H5O7P,-2,"-OPO3 : 1 | >CH- : 1 | -COO : 1 | -CH2- : 1 | -OH : 1 | Origin : 1",-371.9,0.29,,[H][C@](CO)(OP(O)(O)=O)C(O)=O,
193,N-acetyl-L-alpha-amino-n-butyrate|CHEBI:17645,C6H10NO3,-1,"-CH2- : 3 | -COO : 1 | >C=O : 1 | -CH3 : 1 | amide : 1 | -NH- : 1 | Origin : 1",-114.09,0.72,,CC(=O)NCCCC(O)=O,
194,N-acetyl-D-mannosamine|N-acetyl-D-glucosamine|,C8H15NO6,0,"ring -CH< : 5 | -OH : 4 | ring -O- : 1 | >C=O : 1 | -CH3 : 1 | -CH2- : 1 | amide : 1 | -NH- : 1 | Origin : 1",-212.63,1.63,,[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(NC(C)=O)C=O,
195,"D-glucose 1,6-bisphosphate|",C6H12O12P2,-2,"-OPO3 : 2 | ring -CH< : 5 | ring -O- : 1 | -OH : 3 | -CH2- : 1 | Origin : 1",-643.28,1.49,,[H][C@@](O)(COP(O)(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(OP(O)(O)=O)C=O,
196,2-deoxy-alpha-D-ribose-1-phosphate|CHEBI:11563,C5H10O7P,-1,"ring -CH< : 3 | ring -O- : 1 | ring -CH2- : 1 | -OPO3 : 1 | -CH2- : 1 | -OH : 2 | Origin : 1",-354.28,1.18,,OC[C@H]1O[C@@H](C[C@@H]1O)OP(O)(O)=O,
197,2-deoxy-D-ribose-5-phosphate|CHEBI:16132,C5H10O7P,-1,"-OPO3 : 1 | -CH2- : 1 | ring -CH< : 3 | ring -O- : 1 | ring -CH2- : 1 | -OH : 2 | Origin : 1",-354.28,1.18,,O[C@H](COP(O)(O)=O)[C@@H](O)CC=O,
198,dTDP-4-dehydro-6-deoxy-D-glucose|CHEBI:16128,C16H22N2O15P2,-2,"ring -CH< : 7 | ring -O- : 2 | ring -CH2- : 1 | ring >C=O : 3 | ring =CH- : 1 | ring =C< : 1 | -CH2- : 1 | -OH : 3 | -CH3 : 2 | -OPO3- : 1 | -OPO2- : 1 | amide : 2 | ring -N< : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1",-680.33,2.86,,C[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H](C[C@@H]2O)n2cc(C)c(=O)[nH]c2=O)[C@H](O)[C@@H](O)C1=O,
199,dCDP|,C9H13N3O10P2,-2,"ring -CH< : 3 | ring >C=O : 1 | ring =CH- : 2 | ring -O- : 1 | ring -CH2- : 1 | ring =N- : 1 | ring =C< : 1 | -CH2- : 1 | -OH : 1 | -NH2 : 1 | -OPO2- : 1 | -OPO3 : 1 | amide : 1 | ring -N< : 1 | Origin : 1 | OCNC : 1 | CCCN : 1",-513.54,1.84,,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)c(=O)n1,
200,alpha-lipoate|,C8H13O2S2,-1,"ring -CH< : 1 | ring -CH2- : 2 | ring -S- : 2 | -CH2- : 4 | -COO : 1 | Origin : 1",-63.98,1.56,,[O-]C(=O)CCCCC(S)CCS,
201,serine|,C3H7NO3,0,">CH- : 1 | -COO : 1 | -CH2- : 1 | -NH3 : 1 | -OH : 1 | Origin : 1",-124.15,0.31,,NC(CO)C(O)=O,
202,urocanate|,C6H5N2O2,-1,"ring =C< : 1 | =CH- : 2 | ring =CH- : 2 | ring =N- : 1 | ring -NH- : 1 | -COO : 1 | Origin : 1 | OCCC : 1 | CCCC : 1 | heteroaromatic : 1",-26.85,1.3,,[H]C(=C([H])c1c[nH]cn1)C([O-])=O,
203,formyl-CoA|,C22H33N7O17P3S,-3,"ring -N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 3 | -OH : 2 | ring =C< : 1 | -CH2- : 6 | -OPO3 : 1 | -NH2 : 1 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 1 | -CH3 : 2 | >C=O : 2 | -CH=O : 1 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1 | heteroaromatic : 2",-784.18,3.51,,[H]C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12,
204,acetoin|,C4H8O2,0,">CH- : 1 | >C=O : 1 | -CH3 : 2 | -OH : 1 | Origin : 1",-72.12,0.35,,CC(O)C(C)=O,
205,4-nitrophenol-sulfate|CHEBI:35422,C6H4NO6S,-1,"aromatic ring =CH- : 4 | aromatic ring =C< : 2 | -NO2 : 1 | -SO4 : 1 | Origin : 1",None,None,"Involves groups with unknown energy",OS(=O)(=O)Oc1ccc(cc1)N(=O)=O,
206,sepiapterin|,C9H11N5O3,0,"two fused rings >C= : 2 | ring -NH- : 2 | ring =N- : 2 | ring >C=O : 1 | ring -CH2- : 1 | ring =C< : 2 | -NH2 : 1 | >C=O : 1 | >CH- : 1 | -CH3 : 1 | -OH : 1 | amide : 1 | Origin : 1 | OCCC : 1 | OCCN : 1 | CCNC : 2",-34.72,2.65,,CC(O)C(=O)C1=Nc2c(NC1)nc(N)[nH]c2=O,
207,dTDPglucose|,C16H24N2O16P2,-2,"ring -CH< : 8 | ring -O- : 2 | ring -CH2- : 1 | ring >C=O : 2 | ring =CH- : 1 | ring =C< : 1 | -CH2- : 2 | -OH : 5 | -CH3 : 1 | -OPO3- : 1 | -OPO2- : 1 | amide : 2 | ring -N< : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1",-723.12,2.95,,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)O2)c(=O)[nH]c1=O,
208,cyclohexanol|,C6H12O,0,"ring -CH< : 1 | ring -CH2- : 5 | -OH : 1 | Origin : 1",-20.76,1.26,,OC1CCCCC1,
209,cis-but-2-enoyl-CoA|trans-but-2-enoyl-CoA|,C25H37N7O17P3S,-3,"ring -N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 3 | -OH : 2 | ring =C< : 1 | -OPO3 : 1 | -CH2- : 6 | -NH2 : 1 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 1 | -CH3 : 3 | >C=O : 3 | =CH- : 2 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1 | OCCC : 1 | heteroaromatic : 2",-761.78,3.58,,C\C=C\C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12,
210,3'-dephospho-CoA|,C21H33N7O13P2S,-2,"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 4 | ring =CH- : 2 | ring =N- : 3 | ring -O- : 1 | ring =C< : 1 | -OH : 3 | -NH2 : 1 | -CH2- : 6 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 1 | -CH3 : 2 | >C=O : 2 | -SH : 1 | amide : 2 | -NH- : 2 | Origin : 1 | heteroaromatic : 2",-539.49,3.46,,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS,
211,isochorismate|,C10H8O6,-2,"ring -CH< : 2 | -O- : 1 | ring =CH- : 3 | ring =C< : 1 | -OH : 1 | =C< : 1 | -COO : 2 | =CH2 : 1 | Origin : 1 | OCCC : 2 | CCCC : 1",-169.49,1.41,,O[C@@H]1[C@@H](OC(=C)C([O-])=O)C=CC=C1C([O-])=O,
212,"4-pregnene-11beta,17alpha,21-triol-3,20-dione|",C21H30O5,0,"two fused rings >CH- : 3 | two fused rings >C< : 2 | ring -CH2- : 7 | ring >C< : 1 | -CH3 : 2 | ring -CH< : 1 | >C=O : 1 | -OH : 3 | two fused rings >C= : 1 | -CH2- : 1 | ring =CH- : 1 | ring >C=O : 1 | Origin : 1 | OCCC : 1",-130.78,6.83,,,"no exact name match in CHEBI"
213,"4-pregnene-11beta,17alpha-diol-3,20,21-trione|",C21H28O5,0,"two fused rings >CH- : 3 | two fused rings >C< : 2 | ring -CH2- : 7 | ring >C< : 1 | -CH3 : 2 | ring -CH< : 1 | >C=O : 1 | -OH : 2 | two fused rings >C= : 1 | -CH=O : 1 | ring =CH- : 1 | ring >C=O : 1 | Origin : 1 | OCCO : 1 | OCCC : 1",-118.84,6.83,,,"no exact name match in CHEBI"
214,fructuronate|tagaturonate|,C6H9O7,-1,"ring >C< : 1 | ring -CH< : 3 | ring -O- : 1 | -CH2- : 1 | -OH : 4 | -COO : 1 | Origin : 1",-262.39,1.3,,,
215,CoA-glutathione|,C31H47N10O22P3S2,-4,"ring -N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 3 | -OH : 2 | ring =C< : 1 | -CH2- : 10 | -OPO3 : 1 | -NH2 : 1 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 3 | -CH3 : 2 | >C=O : 4 | -S-S- : 1 | -COO : 2 | -NH3 : 1 | amide : 4 | -NH- : 4 | Origin : 1 | heteroaromatic : 2",-965.77,4.33,,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O,
216,dimethylmaleate|,C6H6O4,-2,"-COO : 2 | =C< : 2 | -CH3 : 2 | Origin : 1 | OCCC : 2",-145.2,0.97,,C\C(C([O-])=O)=C(/C)C([O-])=O,
217,lactaldehyde|,C3H6O2,0,">CH- : 1 | -CH=O : 1 | -CH3 : 1 | -OH : 1 | Origin : 1",-70.47,0.28,,[H]C(=O)C(C)O,
218,cytidine-2'3'-cyclicphosphate|CHEBI:17065,C9H11N3O7P,-1,"ring -CH< : 2 | two fused rings >CH- : 2 | ring -O- : 2 | ring >C=O : 1 | ring =CH- : 2 | ring =N- : 1 | ring -OPO2- : 1 | -CH2- : 1 | ring =C< : 1 | -OH : 1 | -NH2 : 1 | amide : 1 | ring -N< : 1 | Origin : 1 | OCNC : 1 | CCCN : 1",-280.96,2.97,,Nc1ccn([C@@H]2O[C@@H]3COP(O)(=O)O[C@H]3[C@H]2O)c(=O)n1,
219,estradiol-17beta|CHEBI:16469,C18H24O2,0,"two fused rings >CH- : 3 | two fused rings >C< : 1 | ring -CH2- : 6 | ring -CH< : 1 | -CH3 : 1 | aromatic ring fused to nonaromatic ring >C=  : 2 | -OH : 2 | aromatic ring =CH- : 3 | aromatic ring =C< : 1 | Origin : 1",-23.54,4.33,,[H][C@]12CC[C@]3(C)[C@@H](O)CC[C@@]3([H])[C@]1([H])CCc1cc(O)ccc21,
220,L-2-aminoadipate|,C6H10NO4,-1,"-CH2- : 3 | >CH- : 1 | -COO : 2 | -NH3 : 1 | Origin : 1",-162.51,0.42,,[NH3+][C@@H](CCCC([O-])=O)C([O-])=O,
221,dihydroxyfumarate|,C4H2O6,-2,"=C< : 2 | -COO : 2 | -OH : 2 | Origin : 1 | OCCC : 2",-220.9,0.98,,O\C(C([O-])=O)=C(\O)C([O-])=O,
222,acetyl-L-serine|CHEBI:17981,C5H9NO4,0,">CH- : 1 | -CH2- : 1 | -COO : 1 | -NH3 : 1 | -O-CO- : 1 | -CH3 : 1 | Origin : 1",-161.6,0.52,,CC(=O)OC[C@H](N)C(O)=O,
223,4-hydroxybutyrate|,C4H7O3,-1,"-CH2- : 3 | -COO : 1 | -OH : 1 | Origin : 1",-119.74,0.31,,OCCCC([O-])=O,
224,"3-hydroxypropanoate|b-Hydroxypropionate|hydroxypropionate(-1,5)|hydroxypropionate|b-hydroxypropionate|",C3H5O3,-1,"-CH2- : 2 | -COO : 1 | -OH : 1 | Origin : 1",-121.36,0.24,,CC(O)C(=O)O[Al](OC(=O)C(C)O)OC(=O)C(C)O,
225,5-oxo-D-gluconate|,C6H9O7,-1,">CH- : 3 | -OH : 4 | >C=O : 1 | -COO : 1 | -CH2- : 1 | Origin : 1",-260.64,0.72,,,"no exact name match in CHEBI"
226,N-acetyl-L-alanine|CHEBI:16682,C5H8NO3,-1,"-COO : 1 | -CH2- : 2 | >C=O : 1 | -CH3 : 1 | amide : 1 | -NH- : 1 | Origin : 1",-115.71,0.69,,CC(=O)NCCC(O)=O,
227,"alpha,alpha-trehalose|",C12H22O11,0,"ring -CH< : 10 | -O- : 1 | ring -O- : 2 | -OH : 8 | -CH2- : 2 | Origin : 1",-376.76,3.02,,OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,
228,2-hydroxyglutarate|,C5H6O5,-2,">CH- : 1 | -CH2- : 2 | -COO : 2 | -OH : 1 | Origin : 1",-199.38,0.35,,OC(CCC([O-])=O)C([O-])=O,
229,fructose-1-phosphate|CHEBI:18105,C6H12O9P,-1,"ring >C< : 1 | ring -CH< : 3 | ring -O- : 1 | -CH2- : 2 | -OH : 4 | -OPO3 : 1 | Origin : 1",-431.67,1.31,,[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)C(=O)COP(O)(O)=O,
230,sorbitol-6-phosphate|D-mannitol-1-phosphate|,C6H14O9P,-1,">CH- : 4 | -OH : 5 | -CH2- : 2 | -OPO3 : 1 | Origin : 1",-437.94,0.91,,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,
231,fuculose-1-phosphate|CHEBI:16647,C6H12O8P,-1,"-OPO3 : 1 | ring -CH< : 5 | ring -O- : 1 | -OH : 3 | -CH3 : 1 | Origin : 1",-394.55,1.47,,C[C@H](O)[C@@H](O)[C@@H](O)C(=O)COP(O)(O)=O,
232,ribulose-5-phosphate|xylulose-5-phosphate|xu5p-D|,C5H10O8P,-1,">CH- : 2 | >C=O : 1 | -OH : 3 | -CH2- : 2 | -OPO3 : 1 | Origin : 1",-393.5,0.57,,OCC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,
233,orotidine-5'-phosphate|CHEBI:15842,C10H11N2O11P,-2,"ring -CH< : 4 | ring -O- : 1 | ring =C< : 1 | ring >C=O : 2 | -OH : 2 | ring =CH- : 1 | -COO : 1 | -CH2- : 1 | -OPO3 : 1 | amide : 2 | ring -N< : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 2",-479.18,1.9,,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)n1c(cc(=O)[nH]c1=O)C(O)=O,
234,5-phosphomevalonate|CHEBI:17436,C6H11O7P,-2,"-CH2- : 3 | >C< : 1 | -COO : 1 | -CH3 : 1 | -OH : 1 | -OPO3 : 1 | Origin : 1",-370.27,0.47,,C[C@@](O)(CCOP(O)(O)=O)CC(O)=O,
235,D-arabinose-5-phosphate|,C5H10O8P,-1,">CH- : 3 | -OH : 3 | -CH2- : 1 | -CH=O : 1 | -OPO3 : 1 | Origin : 1",-392.04,0.64,,O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)C=O,
236,D-galactose-6-phosphate|D-glucose-6-phosphate|D-mannose-6-phosphate|,C6H12O9P,-1,"-OPO3 : 1 | -CH2- : 1 | ring -CH< : 5 | ring -O- : 1 | -OH : 4 | Origin : 1",-430.78,1.51,,O[C@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O,
237,4-hydroxy-2-oxoglutarate|,C5H4O6,-2,">CH- : 1 | -COO : 2 | -CH2- : 1 | -OH : 1 | >C=O : 1 | Origin : 1 | OCCO : 1",-226.94,0.4,,OC(CC(=O)C([O-])=O)C([O-])=O,
238,L-rhamnulose-1-phosphate|,C6H12O8P,-1,"-OPO3 : 1 | -CH2- : 1 | >C=O : 1 | >CH- : 3 | -OH : 3 | -CH3 : 1 | Origin : 1",-393.69,0.66,,C[C@H](O)[C@@H](O)[C@H](O)C(=O)COP(O)(O)=O,
239,5-diphosphomevalonate|,C6H11O10P2,-3,"-OPO2- : 1 | -OPO3 : 1 | -CH2- : 3 | >C< : 1 | -CH3 : 1 | -OH : 1 | -COO : 1 | Origin : 1",-578.27,0.49,,,"no exact name match in CHEBI"
240,2-hydroxy-3-oxopropanoate|,C3H3O4,-1,">CH- : 1 | -COO : 1 | -CH=O : 1 | -OH : 1 | Origin : 1",-149.92,0.28,,OC(C=O)C([O-])=O,
241,4-hydroxyphenylpyruvate|,C9H7O4,-1,">C=O : 1 | -COO : 1 | -CH2- : 1 | aromatic ring =C< : 2 | aromatic ring =CH- : 4 | -OH : 1 | Origin : 1 | OCCO : 1",-115.3,0.9,,OC(=O)C(=O)Cc1ccc(O)cc1,
242,"L-erythro-3,5-diaminohexanoate|",C6H15N2O2,1,"-CH2- : 2 | >CH- : 2 | -NH3 : 2 | -CH3 : 1 | -COO : 1 | Origin : 1",-85.85,0.55,,C[C@H](N)C[C@H](N)CC(O)=O,
243,3-hydroxy-2-methylpropanoate|,C4H7O3,-1,">CH- : 1 | -COO : 1 | -CH2- : 1 | -CH3 : 1 | -OH : 1 | Origin : 1",-121.55,0.27,,CC(CO)C([O-])=O,
244,1-phosphatidyl-1D-myo-inositol-4-phosphate|,C11H16O16P2R2,-2,"ring -CH< : 6 | -OPO3- : 1 | -OH : 4 | -OPO3 : 1 | -CH2- : 2 | >CH- : 1 | -O-CO- : 2 | RW : 2 | Origin : 1",None,None,"Involves groups with unknown energy",[H][C@@](COC([*])=O)(COP(O)(=O)O[C@@H]1[C@H](O)[C@H](O)[C@@H](OP(O)(O)=O)[C@H](O)[C@H]1O)OC([*])=O,
245,1-alpha-D-galactosyl-myo-inositol|,C12H22O11,0,"ring -CH< : 11 | -O- : 1 | -OH : 9 | ring -O- : 1 | -CH2- : 1 | Origin : 1",-378.44,2.81,,OC[C@H]1O[C@H](O[C@H]2[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,
246,"D-glucono-1,5-lactone-6-phosphate|",C6H10O9P,-1,"-OPO3 : 1 | -CH2- : 1 | ring -CH< : 4 | ring -O-CO- : 1 | -OH : 3 | Origin : 1",-428.52,1.24,,,"no exact name match in CHEBI"
247,aminomethyldihydro-alpha-lipoate|,C9H19NO2S2,0,">CH- : 1 | -CH2- : 7 | -S- : 1 | -SH : 1 | -NH3 : 1 | -COO : 1 | Origin : 1",-64.9,1.18,,,"no exact name match in CHEBI"
248,"beta-3,5-diiodo-4-hydroxyphenylpyruvate|",C9H5O4I2,-1,"aromatic ring =C< : 4 | aromatic ring =CH- : 2 | -CH2- : 1 | >C=O : 1 | aromatic -I : 2 | -COO : 1 | -OH : 1 | Origin : 1 | OCCO : 1",-78.06,2.85,,,"no exact name match in CHEBI"
249,1-phosphatidyl-1D-myo-inositol|,C11H16O13PR2,-1,"ring -CH< : 6 | -OPO3- : 1 | -OH : 5 | -CH2- : 2 | >CH- : 1 | -O-CO- : 2 | RW : 2 | Origin : 1",None,None,"Involves groups with unknown energy",[H][C@@](COC([*])=O)(COP(O)(=O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)OC([*])=O,
250,flavin-adenine-dinucleotide|fad|,C27H31N9O15P2,-2,"ring -N< : 2 | two fused rings >C= : 4 | aromatic ring fused to nonaromatic ring >C=  : 2 | -CH2- : 3 | ring =N- : 5 | aromatic ring =CH- : 2 | >CH- : 3 | ring >C=O : 2 | aromatic ring =C< : 2 | -OH : 5 | -CH3 : 2 | -OPO3- : 1 | -OPO2- : 1 | ring -CH< : 4 | ring -O- : 1 | ring =CH- : 2 | ring =C< : 1 | -NH2 : 1 | amide : 1 | ring -NH- : 1 | Origin : 1 | OCCN : 1 | OCNC : 1 | NCCN : 1 | CCNC : 1 | heteroaromatic : 2",-529.37,5.38,,Cc1cc2nc3c(nc(=O)[nH]c3=O)n(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)n3cnc4c(N)ncnc34)c2cc1C,
251,ethylene-glycol|,C2H6O2,0,"-CH2- : 2 | -OH : 2 | Origin : 1",-79.76,0.31,,OCCO,
252,maleate|fumarate|fum|,C4H2O4,-2,"-COO : 2 | =CH- : 2 | Origin : 1 | OCCC : 2",-143.7,0.72,,[O-]C(=O)\C=C\C([O-])=O,
253,butanal|butyraldehyde|,C4H8O,0,"-CH2- : 2 | -CH=O : 1 | -CH3 : 1 | Origin : 1",-30.81,0.26,,[H]C(=O)CCC,
